low_cut_rawsum_le,high_cut_rawsum_ge,accepted_proportion,escalation_proportion,low_zone_n,middle_zone_n,high_zone_n,low_zone_npv,high_zone_ppv,accepted_error_n,accepted_error_rate_all,accepted_error_rate_accepted,average_item_burden,burden_reduction_vs_90,constraint_low_npv_min,constraint_high_ppv_min,constraint_accepted_error_max
11,57,0.581202105068784,0.41879789493121594,6289,4536,6,0.9988869454603275,1.0,7,0.000646293047733358,0.0011119936457505957,46.409842119841194,0.4843350875573201,0.995,0.96,0.008
11,58,0.5810174499122888,0.4189825500877112,6289,4538,4,0.9988869454603275,1.0,7,0.000646293047733358,0.0011123470522803114,46.42369125657834,0.4841812082602407,0.995,0.96,0.008
11,59,0.5809251223340411,0.4190748776659588,6289,4539,3,0.9988869454603275,1.0,7,0.000646293047733358,0.0011125238397965672,46.43061582494691,0.48410426861170097,0.995,0.96,0.008
11,60,0.5809251223340411,0.4190748776659588,6289,4539,3,0.9988869454603275,1.0,7,0.000646293047733358,0.0011125238397965672,46.43061582494691,0.48410426861170097,0.995,0.96,0.008
10,35,0.5791708983473364,0.42082910165266363,5911,4558,362,0.9993232955506682,1.0,4,0.00036931031299049027,0.000637653435357883,46.562182623949774,0.48264241528944696,0.995,0.96,0.008
8,26,0.577785984673622,0.422214015326378,5070,4573,1188,0.9996055226824457,0.9865319865319865,18,0.0016618964084572062,0.0028763183125599234,46.66605114947835,0.48148832056135166,0.995,0.96,0.008
9,30,0.5764933985781553,0.4235066014218447,5503,4587,741,0.9994548428130111,0.9973009446693657,5,0.0004616378912381128,0.0008007687379884689,46.76299510663835,0.48041116548179613,0.995,0.96,0.008
10,36,0.5752008124826886,0.42479918751731144,5911,4601,319,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006420545746388443,46.85993906379836,0.4793340104022405,0.995,0.96,0.008
10,37,0.5704921059920598,0.42950789400794015,5911,4652,268,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006473539407671144,47.21309205059551,0.4754100883267165,0.995,0.96,0.008
10,38,0.5670759855968978,0.4329240144031022,5911,4689,231,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006512536633018561,47.46930108023267,0.47256332133074813,0.995,0.96,0.008
9,31,0.5658757270796787,0.4341242729203213,5503,4702,626,0.9994548428130111,0.9984025559105432,4,0.00036931031299049027,0.0006526350138684941,47.5593204690241,0.4715631058997322,0.995,0.96,0.008
8,27,0.5655987443449358,0.43440125565506416,5070,4705,1056,0.9996055226824457,0.990530303030303,12,0.0011079309389714707,0.0019588638589618022,47.58009417412981,0.4713322869541132,0.995,0.96,0.008
10,39,0.5629212445757548,0.43707875542424524,5911,4734,186,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006560603575528948,47.780906656818395,0.4691010371464623,0.995,0.96,0.008
10,40,0.5604283999630689,0.439571600036931,5911,4761,159,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006589785831960461,47.96787000276983,0.4670236666358908,0.995,0.96,0.008
9,32,0.558951158711107,0.441048841288893,5503,4777,551,0.9994548428130111,0.9981851179673321,4,0.00036931031299049027,0.0006607201850016518,48.07866309666697,0.4657926322592559,0.995,0.96,0.008
10,41,0.5581202105068784,0.4418797894931216,5911,4786,134,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006617038875103391,48.14098421198412,0.4651001754223987,0.995,0.96,0.008
