analysis,method,item_count,selected_items,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
Mutual information ranking,Mutual information ranking,5,"S31,S30,S71,S57,S26",3540,701,0.1980225988700565,0.9744962537792589,0.9014424899103284,0.052247724924375565,-0.5859267997420955,1.3434546904217277,0.8987161198288159,0.9432898908066221,0.7964601769911505,0.9741724263368498,0.22344632768361583,0.5151253188180772,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4793152639087018,0.9491525423728814,4.793152639087019,0.6576319543509273,0.8681732580037664,4.384213029006181,0.833095577746077,0.8248587570621468,4.165477888730385,0.9343794579172611,0.7401129943502824,3.7375178316690443,0.978601997146933,0.6459510357815442,3.262006657156443
Mutual information ranking,Mutual information ranking,10,"S31,S30,S71,S57,S26,S79,S28,S2,S41,S69",3540,701,0.1980225988700565,0.9863527120467466,0.9432579601317873,0.037660060336952204,-0.20631375428759133,1.3758062252562315,0.9286733238231099,0.9559704121169426,0.8389175257731959,0.9819102749638206,0.2192090395480226,0.41728376435815234,0.25106990014265335,0.9943502824858758,5.021398002853068,0.48787446504992865,0.9661016949152542,4.878744650499287,0.6932952924393724,0.9152542372881356,4.621968616262483,0.8815977175463623,0.8728813559322034,4.407988587731812,0.9728958630527818,0.7706214689265537,3.891583452211127,0.9900142653352354,0.6534839924670434,3.3000475511174514
Mutual information ranking,Mutual information ranking,15,"S31,S30,S71,S57,S26,S79,S28,S2,S41,S69,S78,S34,S54,S11,S50",3540,701,0.1980225988700565,0.9894673186144285,0.9554531672306497,0.03299959268488582,-0.5650150343932612,1.2659363984649556,0.9529243937232525,0.9584360690383938,0.8498727735368957,0.9880174291938998,0.22203389830508474,0.46471122146961447,0.2524964336661912,1.0,5.049928673323823,0.4978601997146933,0.9858757062146892,4.978601997146933,0.7061340941512125,0.9322033898305084,4.70756062767475,0.9044222539229672,0.8954802259887006,4.522111269614836,0.9757489300998573,0.7728813559322034,3.9029957203994297,0.9971469329529244,0.6581920903954802,3.3238231098430813
Mutual information ranking,Mutual information ranking,20,"S31,S30,S71,S57,S26,S79,S28,S2,S41,S69,S78,S34,S54,S11,S50,S61,S55,S80,S62,S36",3540,701,0.1980225988700565,0.9917294721624973,0.9658863194799426,0.02834960888741179,-0.3312320847582321,1.172303800484122,0.9443651925820257,0.9682986967241987,0.8803191489361702,0.9860114777618364,0.21242937853107344,0.4670827075991827,0.2524964336661912,1.0,5.049928673323823,0.4992867332382311,0.9887005649717514,4.992867332382311,0.7161198288159771,0.9453860640301318,4.7741321921065145,0.9144079885877318,0.905367231638418,4.572039942938659,0.9828815977175464,0.7785310734463277,3.9315263908701854,0.9971469329529244,0.6581920903954802,3.3238231098430813
Mutual information ranking,Mutual information ranking,30,"S31,S30,S71,S57,S26,S79,S28,S2,S41,S69,S78,S34,S54,S11,S50,S61,S55,S80,S62,S36,S18,S33,S56,S68,S37,S87,S77,S14,S29,S90",3540,701,0.1980225988700565,0.9956204064138233,0.9816910544589115,0.02019170974424126,-0.3239033465367722,1.196867249826572,0.9472182596291013,0.9809792180345192,0.924791086350975,0.986888731396173,0.20282485875706216,0.5305383437464143,0.2524964336661912,1.0,5.049928673323823,0.5021398002853067,0.9943502824858758,5.021398002853068,0.7417974322396577,0.9792843691148776,4.945316214931051,0.9429386590584878,0.9336158192090396,4.71469329529244,0.992867332382311,0.7864406779661017,3.9714693295292443,0.9985734664764622,0.6591337099811676,3.328578221588207
Elastic net ranking (SGD),Elastic net ranking (SGD),5,"S46,S61,S54,S31,S28",3540,701,0.1980225988700565,0.9645034844299819,0.865852924657903,0.06127650190278024,-0.08935696222862109,1.142308784798313,0.7546362339514978,0.9408242338851708,0.7589670014347202,0.9395005276116778,0.19689265536723163,0.4209131943751303,0.24964336661911554,0.9887005649717514,4.992867332382311,0.47218259629101283,0.9350282485875706,4.7218259629101285,0.6476462196861626,0.8549905838041432,4.317641464574418,0.7560627674750356,0.748587570621469,3.7803138373751786,0.884450784593438,0.7005649717514124,3.537803138373752,0.9586305278174037,0.632768361581921,3.1954350927246793
Elastic net ranking (SGD),Elastic net ranking (SGD),10,"S46,S61,S54,S31,S28,S55,S9,S30,S57,S11",3540,701,0.1980225988700565,0.9741618550262067,0.9011631778396083,0.05345868589189547,-0.041327281849928336,1.0318038229584958,0.7945791726105563,0.9520958083832335,0.8037518037518038,0.9494204425711275,0.19576271186440677,0.4165529886895778,0.2524964336661912,1.0,5.049928673323823,0.47360912981455067,0.9378531073446328,4.736091298145507,0.6676176890156919,0.8813559322033898,4.4507845934379455,0.8002853067047075,0.7923728813559322,4.001426533523538,0.912981455064194,0.7231638418079096,3.651925820256776,0.9828815977175464,0.6487758945386064,3.276271992391821
Elastic net ranking (SGD),Elastic net ranking (SGD),15,"S46,S61,S54,S31,S28,S55,S9,S30,S57,S11,S41,S3,S29,S86,S10",3540,701,0.1980225988700565,0.9781771524501555,0.9174012615236798,0.05123368206523655,0.43296546151172416,1.0109499784968485,0.7475035663338089,0.9704121169425854,0.8618421052631579,0.939631650750341,0.17175141242937852,0.42257169215097434,0.2524964336661912,1.0,5.049928673323823,0.48502139800285304,0.96045197740113,4.850213980028531,0.6847360912981455,0.903954802259887,4.56490727532097,0.8159771754636234,0.807909604519774,4.079885877318117,0.9400855920114123,0.7446327683615819,3.760342368045649,0.9885877318116976,0.652542372881356,3.2952924393723255
Elastic net ranking (SGD),Elastic net ranking (SGD),20,"S46,S61,S54,S31,S28,S55,S9,S30,S57,S11,S41,S3,S29,S86,S10,S50,S66,S26,S34,S45",3540,701,0.1980225988700565,0.9834436187623075,0.9341477814225657,0.04474245438581493,0.3449961994414521,1.0029608920998023,0.7774607703281027,0.9700598802395209,0.8650793650793651,0.9463917525773196,0.17796610169491525,0.4404570654613379,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4893009985734665,0.9689265536723164,4.893009985734665,0.7004279600570613,0.9246704331450094,4.669519733713742,0.8359486447931527,0.827683615819209,4.1797432239657635,0.9671897289586305,0.7661016949152543,3.868758915834522,0.9971469329529244,0.6581920903954802,3.3238231098430813
Elastic net ranking (SGD),Elastic net ranking (SGD),30,"S46,S61,S54,S31,S28,S55,S9,S30,S57,S11,S41,S3,S29,S86,S10,S50,S66,S26,S34,S45,S21,S38,S88,S68,S51,S84,S5,S14,S32,S79",3540,701,0.1980225988700565,0.990785065766763,0.9621401317525491,0.0372769074106584,0.9764195726306112,1.0839618177732637,0.7888730385164051,0.9841493483620993,0.9247491638795987,0.9496940856560163,0.16892655367231638,0.43562651308628,0.2524964336661912,1.0,5.049928673323823,0.5021398002853067,0.9943502824858758,5.021398002853068,0.7218259629101283,0.9529190207156308,4.8121730860675225,0.8958630527817404,0.8870056497175142,4.479315263908702,0.9885877318116976,0.7830508474576271,3.9543509272467903,1.0,0.660075329566855,3.3333333333333335
Order-assumed domain-balanced 15-item comparator with correlation-ranked fill,Order-assumed domain-balanced comparator,15,"S56,S28,S69,S30,S57,S11,S50,S18,S62,S59,S31,S71,S79,S26,S78",3540,701,0.1980225988700565,0.9924135952312879,0.9707086977998085,0.028982309032752618,-0.705269422054635,1.2825868771487263,0.9614835948644793,0.957027122226136,0.8467336683417085,0.9901603498542274,0.2248587570621469,0.4229085020542988,0.2524964336661912,1.0,5.049928673323823,0.5035663338088445,0.9971751412429378,5.035663338088445,0.7303851640513552,0.9642184557438794,4.869234427009035,0.912981455064194,0.903954802259887,4.56490727532097,0.9814550641940085,0.7774011299435029,3.9258202567760345,0.9971469329529244,0.6581920903954802,3.3238231098430813
Order-assumed domain-balanced 20-item comparator with correlation-ranked fill,Order-assumed domain-balanced comparator,20,"S56,S28,S69,S30,S57,S11,S50,S18,S62,S59,S31,S71,S79,S26,S78,S34,S2,S54,S80,S41",3540,701,0.1980225988700565,0.9936723012814682,0.974199582790825,0.025426664797953757,-0.5040403924086372,1.2929605374015423,0.927246790299572,0.9781613244100035,0.9129213483146067,0.981966053748232,0.20112994350282487,0.5635010883312073,0.2524964336661912,1.0,5.049928673323823,0.5007132667617689,0.9915254237288136,5.0071326676176895,0.7318116975748931,0.9661016949152542,4.878744650499287,0.9243937232524965,0.9152542372881356,4.621968616262483,0.9900142653352354,0.784180790960452,3.9600570613409416,0.9971469329529244,0.6581920903954802,3.3238231098430813
Fixed 15-item operational raw-sum score,Raw sum benchmark,15,"S61,S9,S28,S2,S34,S10,S85,S41,S51,S26,S30,S31,S68,S84,S46",3540,701,0.1980225988700565,0.9860467032704751,0.9362501379258678,,,,,,,,,,0.25106990014265335,0.9943502824858758,5.021398002853068,0.4978601997146933,0.9858757062146892,4.978601997146933,0.703281027104137,0.928436911487759,4.688540180694247,0.8587731811697575,0.8502824858757062,4.293865905848787,0.9728958630527818,0.7706214689265537,3.891583452211127,0.9942938659058488,0.6563088512241054,3.314312886352829
Full 90 upper bound,Full 90 upper bound,90,"S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90",3540,701,0.1980225988700565,0.9999824132887201,0.9999291131223754,0.0017648546201965926,-0.9679815570754594,2.2265614059803216,0.9914407988587732,0.9992955265938711,0.9971305595408895,0.9978895532887795,0.19689265536723163,0.6747349585562471,0.2524964336661912,1.0,5.049928673323823,0.5049928673323824,1.0,5.049928673323823,0.7574893009985735,1.0,5.049928673323823,0.9985734664764622,0.9887005649717514,4.992867332382311,1.0,0.792090395480226,4.0,1.0,0.660075329566855,3.3333333333333335
